COD_HOSPITAL,NOMBRE,cluster,silhouette,sil_negativo,iso_outlier,iso_score,dist_centroide,z_dist,dist_outlier,n_criterios,outlier_robusto,outlier_union
110100,"Hospital San Juan de Dios (Santiago, Santiago)",1,0.47644329055681645,False,False,-0.4002859332243599,3.6464198471193985,-0.1938282183166048,False,0,False,False
114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,1,0.41634085045965474,False,False,-0.39867672950631966,3.664326347046383,-0.17889428657677825,False,0,False,False
103101,Hospital Dr. Carlos Cisternas (Calama),1,0.5153727732487345,False,False,-0.3978427611239845,3.5166965934459835,-0.30201676567797664,False,0,False,False
103100,Hospital Dr. Leonardo Guzmán (Antofagasta),1,0.5203860067815921,False,False,-0.3976942749828866,3.2226856757238638,-0.5472204064748671,False,0,False,False
105102,Hospital Dr. Antonio Tirado Lanas (Ovalle),1,0.5152039924137374,False,False,-0.3927459687082014,3.4143143584029962,-0.3874030396978776,False,0,False,False
115100,Hospital Regional de Rancagua,1,0.45028359245948146,False,False,-0.39138086097857683,3.1918210951094177,-0.5729613129587692,False,0,False,False
110120,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",1,0.4942553139180213,False,False,-0.39085488059928114,3.62203038234233,-0.2141689104472182,False,0,False,False
114103,Hospital Padre Alberto Hurtado (San Ramón),1,0.5376149818969383,False,False,-0.38689454638626575,3.0380970686854454,-0.701166385236871,False,0,False,False
102100,Hospital Dr. Ernesto Torres Galdames (Iquique),1,0.5372354626378785,False,False,-0.3829933886515585,3.1245261421154633,-0.6290849685332499,False,0,False,False
116105,Hospital Dr. César Garavagno Burotto (Talca),1,0.5201817723387056,False,False,-0.3828056754805644,3.0903052617675426,-0.6576250122758283,False,0,False,False
123100,Hospital Base San José de Osorno,1,0.46085737397568793,False,False,-0.38196668999866157,3.268595109624936,-0.5089321672942164,False,0,False,False
101100,Hospital Dr. Juan Noé Crevanni (Arica),1,0.5190722390851539,False,False,-0.38064182608955205,2.938479581727297,-0.7842468731263077,False,0,False,False
105101,Hospital San Pablo (Coquimbo),1,0.5155286126512852,False,False,-0.37779587326989145,2.686222125650136,-0.9946283349016233,False,0,False,False
120101,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles),1,0.515271790449955,False,False,-0.37759583499832505,2.827707586055038,-0.8766301657183427,False,0,False,False
105100,Hospital San Juan de Dios (La Serena),1,0.5346603701720718,False,False,-0.37744088502382533,2.7467888080666305,-0.9441160234725973,False,0,False,False
124105,Hospital de Puerto Montt,1,0.4755451623056847,False,False,-0.3762312835767902,3.005284629878665,-0.7285317957501367,False,0,False,False
115107,Hospital San Juan de Dios (San Fernando),1,0.5429308312968688,False,False,-0.3761700557576275,2.3389722682675878,-1.284232986171333,False,0,False,False
122100,Hospital Clínico Regional (Valdivia),1,0.49918815162657415,False,False,-0.3756577548877533,3.174915648096897,-0.5870603715545689,False,0,False,False
119100,Hospital Las Higueras (Talcahuano),1,0.48050361976348516,False,False,-0.3754246806189286,2.9519220846775136,-0.7730358926281912,False,0,False,False
116100,Hospital San Juan de Dios (Curicó),1,0.5187580152589022,False,False,-0.37272627766153477,2.5578334575102937,-1.101703844576088,False,0,False,False
104100,Hospital San José del Carmen (Copiapó),1,0.5239504355802084,False,False,-0.3714384246807144,2.4864770137732766,-1.1612147631984093,False,0,False,False
104103,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),1,0.4871326097824641,False,False,-0.3680988061076833,2.7784414723267195,-0.9177178591539819,False,0,False,False
129100,Hospital Dr. Mauricio Heyermann (Angol),1,0.47339686366498057,False,False,-0.3664611567119338,2.785540625604152,-0.9117972006842616,False,0,False,False
108100,Hospital de San Camilo (San Felipe),1,0.5508876690927557,False,False,-0.36584153135370523,2.1439639345833252,-1.4468689650512379,False,0,False,False
116108,Hospital Presidente Carlos Ibáñez del Campo (Linares),1,0.548816820009544,False,False,-0.3655503805593117,1.9938229574736683,-1.5720857920497704,False,0,False,False
117101,Hospital Clínico Herminda Martín (Chillán),1,0.4708477133674912,False,False,-0.36512249584208184,2.3082067490910996,-1.309891275909442,False,0,False,False
