COD_HOSPITAL,NOMBRE,cluster,n_cluster,silhouette,sil_negativo,iso_outlier,iso_score,dist_centroide,z_robusto_mad_global,dist_outlier_corregido,n_criterios,outlier_robusto,outlier_union
111101,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,1,54,0.20692317904924187,False,False,-0.4602276899359561,5.153795340581253,0.9570233537362389,False,0,False,False
109100,"Complejo Hospitalario San José (Santiago, Independencia)",1,54,0.45391750003828923,False,False,-0.4580840353664475,5.026418543987462,0.8539812450924645,False,0,False,False
115110,Hospital de Santa Cruz,1,54,0.40391885822937285,False,False,-0.45500682631994555,4.7271306038041825,0.6118707408812116,False,0,False,False
128109,Hospital Provincial Dr. Rafael Avaría (Curanilahue),1,54,0.26498861938499496,False,False,-0.44738681748954207,6.537781652850467,2.0766061330482803,False,0,False,False
110130,Hospital Adalberto Steeger (Talagante),1,54,0.4591713198017945,False,False,-0.4459397571298184,4.882590217787954,0.73763058774657,False,0,False,False
126100,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,1,54,0.29181179574356325,False,False,-0.4455899721418066,5.672819241963835,1.3768903834083188,False,0,False,False
125100,Hospital Regional (Coihaique),1,54,0.44519815811177543,False,False,-0.44377599289356173,4.631375297040286,0.534408997560338,False,0,False,False
118105,Hospital San José (Coronel),1,54,0.30770727268595854,False,False,-0.4411791685074266,5.070899541798661,0.8899643749215318,False,0,False,False
107102,Hospital de Quilpué,1,54,0.44799243614803363,False,False,-0.435913406284322,4.115995164727631,0.1174896134439372,False,0,False,False
121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),1,54,0.4781817236016173,False,False,-0.4352489829750107,4.260240445115667,0.23417756800520104,False,0,False,False
118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),1,54,0.36749518323881847,False,False,-0.4295191509052673,4.289496330396306,0.25784426547421524,False,0,False,False
106103,Hospital Claudio Vicuña (San Antonio),1,54,0.30254235171387067,False,False,-0.42704935179822434,4.543118391766526,0.4630131243324709,False,0,False,False
113150,Hospital San Luis (Buin),1,54,0.4347920978224794,False,False,-0.4249624849213054,4.196627145789308,0.18271726537819105,False,0,False,False
113100,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",1,54,0.29767700493098076,False,False,-0.42489677463550274,4.630033972716785,0.5333239264142214,False,0,False,False
114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",1,54,0.4265160317175406,False,False,-0.423162350567028,3.885049191891844,-0.06933530805002479,False,0,False,False
113180,"Hospital El Pino (Santiago, San Bernardo)",1,54,0.401887652872304,False,False,-0.4213603882512726,4.40054866981986,0.3476806213100392,False,0,False,False
107101,Hospital San Martín (Quillota),1,54,0.40236476717025577,False,False,-0.4177380062388658,4.078127645774472,0.0868564910355833,False,0,False,False
117102,Hospital de San Carlos,1,54,0.3055357897199455,False,False,-0.4171030582753979,4.3966253772116985,0.34450685376381435,False,0,False,False
129106,Hospital San José (Victoria),1,54,0.41471812304242694,False,False,-0.4122015496903391,3.9707589036446174,0.0,False,0,False,False
108101,Hospital San Juan de Dios (Los Andes),1,54,0.4050073114355494,False,False,-0.41068672224273467,4.008794985242311,0.030769482018548785,False,0,False,False
106100,Hospital Carlos Van Buren (Valparaíso),1,54,0.34935751394324843,False,False,-0.4090363077776265,4.1669196963390025,0.15868527277321265,False,0,False,False
103100,Hospital Dr. Leonardo Guzmán (Antofagasta),1,54,0.5014571201334614,False,False,-0.40525975843741413,3.268696250589344,-0.5679371604983847,False,0,False,False
110120,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",1,54,0.4819619306354514,False,False,-0.40505784661017263,3.5564873431675514,-0.33512708973860794,False,0,False,False
105102,Hospital Dr. Antonio Tirado Lanas (Ovalle),1,54,0.48260441287908806,False,False,-0.4042897104701803,3.6877907840295,-0.22890850220617628,False,0,False,False
133150,Hospital de Castro,1,54,0.46326740715920267,False,False,-0.40276087175598907,3.4252650060773657,-0.4412800679616135,False,0,False,False
110100,"Hospital San Juan de Dios (Santiago, Santiago)",1,54,0.4500379106431263,False,False,-0.4001708003301907,3.657992428477171,-0.2530140337655919,False,0,False,False
114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,1,54,0.364045216239413,False,False,-0.39785373566896326,3.6800179316845827,-0.23519639071660253,False,0,False,False
103101,Hospital Dr. Carlos Cisternas (Calama),1,54,0.49875022815297665,False,False,-0.39462315838300277,3.4415555260834605,-0.42810176879552014,False,0,False,False
115100,Hospital Regional de Rancagua,1,54,0.4113932813990901,False,False,-0.39235849554405205,3.190678850910048,-0.6310497335009522,False,0,False,False
114103,Hospital Padre Alberto Hurtado (San Ramón),1,54,0.50787465438407,False,False,-0.39032940189528387,3.1369786811216516,-0.6744907594765952,False,0,False,False
102100,Hospital Dr. Ernesto Torres Galdames (Iquique),1,54,0.5216844801829827,False,False,-0.3878878473818929,3.146558092557135,-0.6667414457846648,False,0,False,False
122100,Hospital Clínico Regional (Valdivia),1,54,0.48254836947799634,False,False,-0.3873567067950402,3.2113601772927285,-0.6143194691434843,False,0,False,False
104100,Hospital San José del Carmen (Copiapó),1,54,0.49529255143123807,False,False,-0.38527860166568106,2.808782898993531,-0.939986409726939,False,0,False,False
105100,Hospital San Juan de Dios (La Serena),1,54,0.5125278602161325,False,False,-0.3846570968574692,2.742389171875869,-0.9936959535831923,False,0,False,False
119100,Hospital Las Higueras (Talcahuano),1,54,0.45843635866816995,False,False,-0.38397110256415534,3.0357880984618593,-0.7563493969285079,False,0,False,False
101100,Hospital Dr. Juan Noé Crevanni (Arica),1,54,0.4980679484436312,False,False,-0.3839426523650518,3.095675667981638,-0.7079030424127166,False,0,False,False
124105,Hospital de Puerto Montt,1,54,0.4257760064515056,False,False,-0.3834248777095315,3.2706247550096825,-0.5663770870209976,False,0,False,False
116105,Hospital Dr. César Garavagno Burotto (Talca),1,54,0.5026304502913566,False,False,-0.3828787792877053,3.0833219419026463,-0.717896652071832,False,0,False,False
123100,Hospital Base San José de Osorno,1,54,0.46512021918405494,False,False,-0.38188831768927467,2.934740428135718,-0.838092424719914,False,0,False,False
105101,Hospital San Pablo (Coquimbo),1,54,0.48589282218639374,False,False,-0.37929318010147767,2.914181012654363,-0.8547240686325663,False,0,False,False
116100,Hospital San Juan de Dios (Curicó),1,54,0.48852036720958375,False,False,-0.3738136630423705,2.5567258394508015,-1.143889252382493,False,0,False,False
104103,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),1,54,0.4929228592418125,False,False,-0.3734328326338988,2.572687574209708,-1.130976925717414,False,0,False,False
120101,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles),1,54,0.5043554815417419,False,False,-0.3730052399838109,2.7221569858460417,-1.0100628835636571,False,0,False,False
115107,Hospital San Juan de Dios (San Fernando),1,54,0.5252585711452332,False,False,-0.3722282180155262,2.3984955477357293,-1.2718904531163742,False,0,False,False
116108,Hospital Presidente Carlos Ibáñez del Campo (Linares),1,54,0.5237710817797481,False,False,-0.37071930611778603,2.1921227501334943,-1.4388367792943222,False,0,False,False
129100,Hospital Dr. Mauricio Heyermann (Angol),1,54,0.4631857449944098,False,False,-0.3695888074262496,2.5564775508111803,-1.1440901067426512,False,0,False,False
108100,Hospital de San Camilo (San Felipe),1,54,0.535835613148956,False,False,-0.3689973540832373,2.045922887833285,-1.5571059028528695,False,0,False,False
117101,Hospital Clínico Herminda Martín (Chillán),1,54,0.43474051630119953,False,False,-0.3682151707950665,2.2712901182256267,-1.3747939334846104,False,0,False,False
